2014-07-27,07:25:05,LHR5,8701,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/02_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,X-qm8gBrlLyRadJ0M6NYVzEa_u0lRZUnmSAIe3NRGEcEZ32H9jP60g==,c.rockabox.co,http,321,0.003
2014-07-27,07:25:05,LHR5,8701,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/02_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,VvTSrUlO1miEWJKNkIMkC1hVovSeSBq8114FDbcEvYgwr-JGWFW_PA==,c.rockabox.co,http,321,0.004
2014-07-27,07:25:11,LHR5,8701,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/01_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,iRnmZg679L4uH2ESjPO4LU-B7-YcibGIc49ciFYw1EutxXl3P5xrXw==,c.rockabox.co,http,321,0.003
2014-07-27,07:25:12,LHR5,1127,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/01_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,XpalLbUMjsCNMwl5TJEbAVpH1hjH9ZnrOkhkhKWf07rIOYrwf0svIQ==,c.rockabox.co,http,323,0.001
2014-07-27,07:25:04,LHR5,500,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/02_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,mXT3hl2gb8Ml0uLI6-wSjLb3UYvJuC51leKjlyhW4Epfx5rp_XYCFA==,c.rockabox.co,http,313,0.002
2014-07-27,07:25:04,LHR5,77508,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/02_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Error,vYd60U3t9JUcJCtUW3vQvMCiQMh3_mObsD01EbDeMBAgsd9Oy8yB1g==,c.rockabox.co,http,318,0.034
2014-07-27,07:25:05,LHR5,500,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/02_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,TmQ9ne1rUqeM3DC52KQGtLJgoKUEy8XqrL1X-w9M-runRuyNCe7NHw==,c.rockabox.co,http,313,0.000
2014-07-27,07:25:05,LHR5,831175,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/02_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,cDozFBGoe9En48Isy4s9APRDv9k1E7X4qxDzO1W2mkECnyVZXwk9Nw==,c.rockabox.co,http,322,0.357
2014-07-27,07:25:05,LHR5,843771,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/02_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,kOzKqaNhpTEFc0G7yXYsELz65utoBb-XRuYTshGhmkr2abAJkWmoUg==,c.rockabox.co,http,318,0.333
2014-07-27,07:25:10,LHR5,500,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/01_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,D8Fg8wAqugACzGJMfBzIjClzU3XLRT7gsJd8X25zzW0q52XzCy_ubg==,c.rockabox.co,http,313,0.004
2014-07-27,07:25:11,LHR5,77508,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/01_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Error,D5x2Eq70N1KHqfSMDX1ghXax4vf3mDDXUPYQlADTyzTbRPTsFDx_9g==,c.rockabox.co,http,318,0.033
2014-07-27,07:25:11,LHR5,500,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/01_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,thyo-ZJHnPXOWIuGNfD8NHEoKaHIV1L1qxPPrzyv3BkZ6P1tGNBvlg==,c.rockabox.co,http,313,0.003
2014-07-27,07:25:11,LHR5,78400,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/01_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Error,9h24SoMJOKRDN0R6uGDrHOYJjlNMfY3tXhWLfZEF83IEFdTrJ86-aA==,c.rockabox.co,http,318,0.147
2014-07-27,07:25:12,LHR5,403817,217.42.221.193,GET,d1wa2s2ofi5p2i.cloudfront.net,/133376/01_glasses.mp4,206,-,AppleCoreMedia/1.0.0.11D257%2520(iPad;%2520U;%2520CPU%2520OS%25207_1_2%2520like%2520Mac%2520OS%2520X;%2520en_us),-,-,Hit,BXQodmW4FUAIANAFbRJr1JiQygIgKVjIEaczcAyDnT52F1H91ZprWA==,c.rockabox.co,http,322,0.384
