2014-07-27,75,6,8
2014-07-28,29,-141,4
2014-07-29,62,21957,1
2014-08-01,470,2,102
2014-08-02,298,3,61
2014-08-03,48,6,10
2014-08-04,18,0,2
2014-08-05,13,4,3
2014-08-06,1,0,1
2014-08-07,4,4,1
2014-08-08,9,7,1
2014-08-09,3,7,1
2014-08-11,11,5477,1
2014-08-12,505,3,99
2014-08-13,163,5,35
2014-08-14,35,3,8
2014-08-15,14,-4,3
2014-08-16,5,1,1
2014-08-19,21,46,1
2014-08-20,4,9,1
